,Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Estado,Antiguedad,Disposicion,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Aire_acondicionado_individual,Losa_radiante,Gas_natural,Agua_corriente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Permite_Mascotas,Ascensor,Pileta,Parrilla,Gimnasio,Sauna,Laundry,Vigilancia,Latitud,Longitud,Barrio,Comuna,Dist_Subte_m,Subte_cercano,Linea_subte,Dist_Hospital_m,Hospital_cercano,Dist_Colegio_m,Colegios_500m,Dist_Comisaria_m,Dist_Gimnasio_m,Dist_Supermercado_m,Supermercados_500m,Dist_Avenida_m,Avenida_cercana,Paradas_colectivo_300m,Antiguedad_imputada
1,150000.0,260000.0,Bulnes,1600.0,No disponible,https://www.argenprop.com/departamento-en-venta-en-botanico-3-ambientes--15321644,3,2,1.0,Excelente,30,Frente,Departamento,60.0,60.0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,-34.586796,-58.4107406,Palermo,14,167.77613308390434,BULNES,D,719.1936454194747,Dr. J. A. Fernandez,180.3530801148949,10,493.1266786173934,51.727489875753,20.279330712044505,10,156.78829700572817,Avenida Santa Fe,19,0
2,330000.0,203300.0,ARAOZ,1200.0,8,https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--19344625,4,3,2.0,Bueno,50,Contrafrente,No disponible,90.0,96.0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,-34.5888646,-58.4201539,Palermo,14,563.7325714503586,R.SCALABRINI ORTIZ,D,948.6218618087393,R. Gutierrez,188.53772593952965,11,403.11475708106144,429.5843924125173,249.2481036328163,4,96.51496409815344,Avenida Raúl Scalabrini Ortiz,10,1
3,270000.0,300000.0,Honduras,3900.0,2,https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-4-ambientes--9070214,4,2,2.0,Excelente,20,Frente,Semipiso,87.0,87.0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,-34.5812833,-58.4399601,Palermo,14,815.465553052464,MINISTRO CARRANZA - MIGUEL ABUELO,D,2930.4048924005706,Hospital Municipal de Oncologia M. Curie,240.87393791318163,7,891.1453407265094,383.0178539253359,75.24372908537052,7,425.49537544027567,Avenida Coronel Niceto Vega,5,0
4,570000.0,1000000.0,Castex,3300.0,No disponible,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-4-ambientes--19134132,4,3,3.0,No disponible,40,No disponible,Piso,140.0,160.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-34.5761332,-58.4075794,Palermo,14,1262.253344719196,R.SCALABRINI ORTIZ,D,559.868782136192,Dr. J. A. Fernandez,256.79759185353754,4,804.138281211501,286.69799260164115,217.07559375459664,3,108.44411914380082,Avenida Casares,7,0
5,98000.0,150000.0,GURRUCHAGA,2100.0,5,https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--19192534,1,1,1.0,Muy Bueno,15,Frente,No disponible,31.0,34.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-34.5883382,-58.4277019,Palermo,14,973.2732907380324,PLAZA ITALIA,D,1574.570047521903,R. Gutierrez,153.61016871096126,5,461.4834689707528,393.56800785335616,85.28674439552117,6,378.8028807201709,Avenida Raúl Scalabrini Ortiz,7,0
6,240000.0,340000.0,BORGES JORGE LUIS,2100.0,6,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--19106440,3,2,2.0,Bueno,5,Frente,No disponible,67.0,67.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-34.5849082,-58.4245348,Palermo,14,494.4250601405692,PLAZA ITALIA,D,1539.4665539073671,R. Gutierrez,198.24484018046743,10,490.19269548838633,110.1699053689235,44.42884093132709,8,484.1785224056809,Avenida Santa Fe,4,0
7,219000.0,200000.0,Jorge Luis Borges,2400.0,No disponible,https://www.argenprop.com/departamento-en-venta-en-botanico-4-ambientes--19381734,4,3,2.0,Excelente,40,Contrafrente,Duplex,75.0,85.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-34.5849082,-58.4245348,Palermo,14,494.4250601405692,PLAZA ITALIA,D,1539.4665539073671,R. Gutierrez,198.24484018046743,10,490.19269548838633,110.1699053689235,44.42884093132709,8,484.1785224056809,Avenida Santa Fe,4,1
8,105000.0,178000.0,CONESA,2500.0,7,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--19264926,1,1,1.0,Bueno,10,Contrafrente,No disponible,36.0,37.0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-34.5542484,-58.4718214,Nuñez,13,880.565193077958,CONGRESO DE TUCUMAN,D,1201.3731341966534,Dr. I. Pirovano,158.54017346732124,4,1564.415612360886,349.58711226740826,289.8169036175723,2,105.37105359143192,Avenida Crámer,8,0
9,129000.0,112000.0,AMENABAR,2100.0,0,https://www.argenprop.com/departamento-en-venta-en-belgrano-2-ambientes--19225524,2,1,1.0,Bueno,45,Lateral,No disponible,63.0,63.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-34.5469752,-58.4719457,Saavedra,12,1302.389902160746,CONGRESO DE TUCUMAN,D,2008.0454462740056,Dr. I. Pirovano,279.89882447547484,6,945.8261123831146,219.21494745925693,68.19326388364082,10,161.9350464411085,Avenida Cabildo,11,0
10,599000.0,1160000.0,Balbin,2400.0,12,https://www.argenprop.com/departamento-en-venta-en-belgrano-5-ambientes--19116965,5,4,3.0,Excelente,20,Frente,Departamento,153.0,198.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,-34.5543353,-58.4971998,Saavedra,12,2429.417561544749,JUAN MANUEL DE ROSAS - VILLA URQUIZA,B,2676.7052113176064,Dr. I. Pirovano,299.8209605383732,3,722.7596220277397,1161.7977300855575,599.6914654606716,0,7.354797187430647,Avenida Doctor Ricardo Balbín,7,0
11,248000.0,230000.0,Avenida Gaona,1100.0,No disponible,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18034339,4,2,3.0,Excelente,30,Frente,Semipiso,118.0,128.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-34.6166913,-58.4666256,Flores,7,1404.2707340730155,SAN JOSÉ DE FLORES,A,871.3724574391139,Dr. T. Alvarez,71.98670118105191,5,187.28102522191213,734.6096870735349,553.5613243198982,0,6.45155797707085,Avenida Gaona,13,0
12,106500.0,142216.37680736347,Conesa,2900.0,No disponible,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--18933764,1,1,1.0,No disponible,40,Contrafrente,No disponible,34.0,39.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.5542484,-58.4718214,Nuñez,13,880.565193077958,CONGRESO DE TUCUMAN,D,1201.3731341966534,Dr. I. Pirovano,158.54017346732124,4,1564.415612360886,349.58711226740826,289.8169036175723,2,105.37105359143192,Avenida Crámer,8,1
13,269000.0,263000.0,ARENALES,3100.0,8,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--18537647,3,2,2.0,Excelente,40,Frente,No disponible,135.0,135.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.5945442,-58.3770371,Retiro,1,91.60451757741568,SAN MARTIN,C,2412.228290294905,B. Rivadavia,155.09507772952682,5,275.5687059662007,387.8993667394393,216.91641241021932,9,84.88469794877605,Avenida Santa Fe,24,0
14,155000.0,288000.0,ARMENIA,2100.0,8,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--19102028,2,1,2.0,Muy Bueno,18,Contrafrente,No disponible,47.0,49.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,-34.5901016,-58.4283319,Palermo,14,1165.6387827203214,PLAZA ITALIA,D,1559.5654127852165,R. Gutierrez,276.0385317011125,7,273.80751973767326,252.94942493164865,193.8411771236541,7,264.2539191329662,Avenida Raúl Scalabrini Ortiz,4,0
