ranking,sintetica_id_registro,enriquecida_Barrio,original_Calle,original_Altura,imputada_Tipo_Unidad,imputada_Ambientes,imputada_Estado,imputada_Precio,imputada_Sup_Total_m2,Precio_m2,Precio_m2_comparable,Subvaluacion_%,Indice_accesibilidad,N_comparables,Indice_oportunidad_flip,original_Link,validacion_requerida
1,7322,Palermo,Bulnes,400.0,Departamento,2,Bueno,70000.0,57.0,1228.0701754385964,2725.0,54.93320457106068,0.8060493340543761,103,96.12098668108753,https://www.argenprop.com/departamento-en-venta-en-almagro-2-ambientes--18446773,"Precio de cierre, estado real, presupuesto de obra, gastos, impuestos y plazo de reventa"
2,7318,Palermo,Bulnes,100.0,Departamento,4,A Refaccionar,125000.0,80.0,1562.5,2542.4058512293805,38.54246365723029,0.8060493340543761,60,86.47214979345227,https://www.argenprop.com/departamento-en-venta-en-almagro-norte-4-ambientes--19262500,"Precio de cierre, estado real, presupuesto de obra, gastos, impuestos y plazo de reventa"
3,1054,Saavedra,SAAVEDRA,300.0,Departamento,3,Bueno,69000.0,51.0,1352.9411764705883,2812.5,51.8954248366013,0.6184282549207358,21,85.53068387851104,https://www.argenprop.com/departamento-en-venta-en-balvanera-3-ambientes--17392688,"Precio de cierre, estado real, presupuesto de obra, gastos, impuestos y plazo de reventa"
4,57,Palermo,ARAOZ,2400.0,Semipiso,4,A Refaccionar,270000.0,150.0,1800.0,2923.076923076923,38.421052631578945,0.7120352969519498,11,84.49626110386943,https://www.argenprop.com/departamento-en-venta-en-botanico-4-ambientes--19090398,"Precio de cierre, estado real, presupuesto de obra, gastos, impuestos y plazo de reventa"
5,3259,Belgrano,Echeverria,2600.0,Departamento,4,Bueno,185000.0,117.0,1581.1965811965813,2802.8169014084506,43.58544861057423,0.7577193060255413,31,84.46873982408279,https://www.argenprop.com/departamento-en-venta-en-belgrano-4-ambientes--16488457,"Precio de cierre, estado real, presupuesto de obra, gastos, impuestos y plazo de reventa"
6,2119,Palermo,Sánchez De Bustamante,400.0,Semipiso,3,Bueno,139000.0,79.0,1759.493670886076,2684.2105263157896,34.45023579051874,0.8446941709516874,13,84.0225261294826,https://www.argenprop.com/departamento-en-venta-en-almagro-3-ambientes--18890514,"Precio de cierre, estado real, presupuesto de obra, gastos, impuestos y plazo de reventa"
7,3070,Palermo,Santa Fe Av.,3500.0,Semipiso,4,Bueno,215000.0,110.77200952702898,1940.9235321991591,2923.076923076923,33.59998442476561,0.8739352332033083,11,83.93779708011802,https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--19282468,"Precio de cierre, estado real, presupuesto de obra, gastos, impuestos y plazo de reventa"
8,272,Palermo,ARENALES,3000.0,Departamento,4,Bueno,150000.0,90.0,1666.6666666666667,2542.4058512293805,34.44529456771231,0.7974128221370741,60,83.07300807189604,https://www.argenprop.com/departamento-en-venta-en-parque-las-heras-4-ambientes--19281971,"Precio de cierre, estado real, presupuesto de obra, gastos, impuestos y plazo de reventa"
9,6910,Colegiales,CONDE,700.0,No disponible,2,Bueno,76000.0,40.0,1900.0,3593.846153846154,47.13184931506849,0.5315363831902824,53,82.43280150042,https://www.argenprop.com/departamento-en-venta-en-colegiales-2-ambientes--18197541,"Precio de cierre, estado real, presupuesto de obra, gastos, impuestos y plazo de reventa"
10,984,Palermo,Charcas,3000.0,Departamento,2,Bueno,74000.0,43.0,1720.9302325581396,2725.0,36.846596970343505,0.6287594147057687,103,81.59090157929009,https://www.argenprop.com/departamento-en-venta-en-barrio-norte-2-ambientes--18046993,"Precio de cierre, estado real, presupuesto de obra, gastos, impuestos y plazo de reventa"
