barrio_key,barrio_valor,comuna_key
1,Agronomia,15
2,Almagro,5
3,Balvanera,3
4,Barracas,4
5,Belgrano,13
6,Boedo,5
7,Caballito,6
8,Chacarita,15
9,Coghlan,12
10,Colegiales,13
11,Constitucion,1
12,Flores,7
13,Floresta,10
14,La Boca,4
15,Liniers,9
16,Mataderos,9
17,Monserrat,1
18,Monte Castro,10
19,Nueva Pompeya,4
20,Nuñez,13
21,Palermo,14
22,Parque Avellaneda,9
23,Parque Chacabuco,7
24,Parque Chas,15
25,Parque Patricios,4
26,Paternal,15
27,Puerto Madero,1
28,Recoleta,2
29,Retiro,1
30,Saavedra,12
31,San Cristobal,3
32,San Nicolas,1
33,San Telmo,1
34,Velez Sarsfield,10
35,Versalles,10
36,Villa Crespo,15
37,Villa Del Parque,11
38,Villa Devoto,11
39,Villa Gral. Mitre,11
40,Villa Lugano,8
41,Villa Luro,10
42,Villa Ortuzar,15
43,Villa Pueyrredon,12
44,Villa Real,10
45,Villa Riachuelo,8
46,Villa Santa Rita,11
47,Villa Soldati,8
48,Villa Urquiza,12
