hospital_cercano_key,hospital_cercano_valor
1,A. Zubizarreta
2,B. Rivadavia
3,Cecilia Grierson
4,D. Velez Sarsfield
5,Donacion F. Santojanni
6,Dr C. Argerich
7,Dr. C. Durand
8,Dr. E. Tornu
9,Dr. I. Pirovano
10,Dr. J. A. Fernandez
11,Dr. J. Garrahan
12,Dr. T. Alvarez
13,Emerg Psiquiatricas Torcuato de Alvear
14,Gastroenterologia B. Udaondo
15,Hospital Especializado Infanto Juvenil C. Tobar Garcia
16,Hospital Especializado Materno Infantil R. Sarda
17,Hospital Especializado Odontologico Dr. R. Carrillo (Ex Nacional)
18,Hospital Especializado Oftalmologico Dr. P. Lagleyze
19,Hospital Municipal de Oncologia M. Curie
20,Infecciosas F. Muñiz
21,Inst. de Zoonosis L. Pasteur
22,Instituto de Rehabilitacion Psicofisica (I.R.E.P.)
23,J. A. Penna
24,J. M. Ramos Mejia
25,Odontologia  J. Dueñas
26,Odontologia Infantil Don Benito Quinquela Martin
27,Oftalmologia Santa Lucia
28,P. Piñero
29,P. de Elizalde
30,Quemados Dr. Arturo Umberto Illia
31,R. Gutierrez
32,Rehabilitacion M. Rocca
33,Rehabilitacion Respiratoria Maria Ferrer
34,Salud Mental J. Borda
35,Talleres Protegidos de Rehabilitacion Psiquiatrica
