sintetica_id_registro,estado_key,disposicion_key,tipo_unidad_key,barrio_key,subte_cercano_key,linea_subte_key,hospital_cercano_key,avenida_cercana_key,cluster_key,imputada_Precio,imputada_Expensas,original_Calle,original_Altura,imputada_Piso,original_Link,imputada_Ambientes,imputada_Dormitorios,original_Banos,imputada_Antiguedad,imputada_Sup_Cubierta_m2,imputada_Sup_Total_m2,original_Aire_acondicionado_individual,original_Losa_radiante,original_Gas_natural,original_Agua_corriente,original_Balcon,original_Terraza,original_Jardin,original_Patio,original_Baulera,original_Cochera,original_Muebles_de_cocina,original_Permite_Mascotas,original_Ascensor,original_Pileta,original_Parrilla,original_Gimnasio,original_Sauna,original_Laundry,original_Vigilancia,enriquecida_Latitud,enriquecida_Longitud,enriquecida_Dist_Subte_m,enriquecida_Dist_Hospital_m,enriquecida_Dist_Colegio_m,enriquecida_Colegios_500m,enriquecida_Dist_Comisaria_m,enriquecida_Dist_Gimnasio_m,enriquecida_Dist_Supermercado_m,enriquecida_Supermercados_500m,enriquecida_Dist_Avenida_m,enriquecida_Paradas_colectivo_300m,imputada_Antiguedad_imputada,sintetica_indice_entorno_integral_pca,sintetica_indice_servicios_barriales_pca,sintetica_indice_conectividad_pca,sintetica_indice_amplitud_pca,sintetica_indice_lujo_confort_mca,sintetica_cantidad_amenities,sintetica_score_antiguedad_nueva,sintetica_precio_m2
1,3,2,1,21,11,4,10,122,4,150000.0,260000.0,Bulnes,1600.0,No disponible,https://www.argenprop.com/departamento-en-venta-en-botanico-3-ambientes--15321644,3,2,1.0,30,60.0,60.0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,-34.586796,-58.4107406,167.77613308390434,719.1936454194747,180.3530801148949,10,493.1266786173934,51.727489875753,20.279330712044505,10,156.78829700572817,19,0,83.35708969858709,69.75636084265527,59.11396597388037,16.67969836357211,31.2297623368868,7,68.9655172413793,2500.0
2,2,1,4,21,69,4,31,113,4,330000.0,203300.0,ARAOZ,1200.0,8,https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--19344625,4,3,2.0,50,90.0,96.0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,-34.5888646,-58.4201539,563.7325714503586,948.6218618087393,188.53772593952965,11,403.11475708106144,429.5843924125173,249.2481036328163,4,96.51496409815344,10,1,68.42033534370235,46.24737770750241,54.71691886187292,32.44845894546123,25.187257835566072,5,45.97701149425287,3437.5
3,3,2,8,21,52,4,19,38,4,270000.0,300000.0,Honduras,3900.0,2,https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-4-ambientes--9070214,4,2,2.0,20,87.0,87.0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,-34.5812833,-58.4399601,815.465553052464,2930.4048924005706,240.87393791318163,7,891.1453407265094,383.0178539253359,75.24372908537052,7,425.49537544027567,5,0,57.04534399476737,86.99642873274222,30.09939393012404,27.997101462807468,35.73285619606693,8,80.45977011494253,3103.448275862069
4,5,5,7,21,69,4,10,24,4,570000.0,1000000.0,Castex,3300.0,No disponible,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-4-ambientes--19134132,4,3,3.0,40,140.0,160.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-34.5761332,-58.4075794,1262.253344719196,559.868782136192,256.79759185353754,4,804.138281211501,286.69799260164115,217.07559375459664,3,108.44411914380082,7,0,56.75197890372337,60.24107171588988,63.64343437117774,45.849422487450255,16.30781301577937,4,57.4712643678161,3562.5
5,4,2,4,21,65,4,31,113,4,98000.0,150000.0,GURRUCHAGA,2100.0,5,https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--19192534,1,1,1.0,15,31.0,34.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-34.5883382,-58.4277019,973.2732907380324,1574.570047521903,153.61016871096126,5,461.4834689707528,393.56800785335616,85.28674439552117,6,378.8028807201709,7,0,61.15016586524724,70.94049402328318,46.38235766266404,3.173495733419465,15.334496320642636,3,86.20689655172414,2882.3529411764707
6,2,2,4,21,65,4,31,122,4,240000.0,340000.0,BORGES JORGE LUIS,2100.0,6,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--19106440,3,2,2.0,5,67.0,67.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-34.5849082,-58.4245348,494.4250601405692,1539.4665539073671,198.24484018046743,10,490.19269548838633,110.1699053689235,44.42884093132709,8,484.1785224056809,4,0,66.70666297250499,81.76842946558791,53.79545452842667,21.984121135905227,31.64860625377569,4,97.70114942528735,3582.089552238806
7,3,1,2,21,65,4,31,122,4,219000.0,200000.0,Jorge Luis Borges,2400.0,No disponible,https://www.argenprop.com/departamento-en-venta-en-botanico-4-ambientes--19381734,4,3,2.0,40,75.0,85.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-34.5849082,-58.4245348,494.4250601405692,1539.4665539073671,198.24484018046743,10,490.19269548838633,110.1699053689235,44.42884093132709,8,484.1785224056809,4,1,66.70666297250499,81.76842946558791,53.79545452842667,30.294149188416554,7.622268182987203,2,57.4712643678161,2576.470588235294
8,2,1,4,20,22,4,9,41,4,105000.0,178000.0,CONESA,2500.0,7,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--19264926,1,1,1.0,10,36.0,37.0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-34.5542484,-58.4718214,880.565193077958,1201.3731341966534,158.54017346732124,4,1564.415612360886,349.58711226740826,289.8169036175723,2,105.37105359143192,8,0,54.15961319855157,64.64842430720994,64.96286333153614,3.841314881069757,24.6341225956123,6,91.95402298850574,2837.837837837838
9,2,4,4,30,22,4,9,18,1,129000.0,112000.0,AMENABAR,2100.0,0,https://www.argenprop.com/departamento-en-venta-en-belgrano-2-ambientes--19225524,2,1,1.0,45,63.0,63.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-34.5469752,-58.4719457,1302.389902160746,2008.0454462740056,279.89882447547484,6,945.8261123831146,219.21494745925693,68.19326388364082,10,161.9350464411085,11,0,65.06714409805568,84.26334769141988,40.24945487889336,10.925009097366832,15.563308646251746,4,51.72413793103448,2047.619047619048
10,3,2,1,30,42,2,9,47,1,599000.0,1160000.0,Balbin,2400.0,12,https://www.argenprop.com/departamento-en-venta-en-belgrano-5-ambientes--19116965,5,4,3.0,20,153.0,198.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,-34.5543353,-58.4971998,2429.417561544749,2676.7052113176064,299.8209605383732,3,722.7596220277397,1161.7977300855575,599.6914654606716,0,7.354797187430647,7,0,35.61595426739485,34.30996014183398,18.647591549224448,56.10951435740922,26.90783456355785,4,80.45977011494253,3025.252525252525
